date,sales
01-06-2025,1505.57
02-06-2025,1170.92
03-06-2025,1235.44
04-06-2025,1142.15
05-06-2025,1229.06
06-06-2025,1433.02
07-06-2025,1719.22
08-06-2025,1491.73
09-06-2025,1199.63
10-06-2025,2054.57
11-06-2025,1182.22
12-06-2025,1345.71
13-06-2025,1474.76
14-06-2025,1745.85
15-06-2025,1582.95
16-06-2025,1378.07
17-06-2025,1133.62
18-06-2025,1325.53
19-06-2025,1247.58
20-06-2025,1533.86
21-06-2025,1768.52
22-06-2025,1545.11
23-06-2025,1306.98
24-06-2025,1237.37
25-06-2025,1202.2
26-06-2025,1215.75
27-06-2025,1521.12
28-06-2025,1828
29-06-2025,1621.48
30-06-2025,1332.03
01-07-2025,1337.9
02-07-2025,1276.87
03-07-2025,1398.23
04-07-2025,2464.04
05-07-2025,1920.75
06-07-2025,1680.59
07-07-2025,1353.27
08-07-2025,1350.93
09-07-2025,1286.61
10-07-2025,1370.69
11-07-2025,1625.51
12-07-2025,1949.34
13-07-2025,1706.14
14-07-2025,1393.61
15-07-2025,1222.76
16-07-2025,1241.87
17-07-2025,1377.03
18-07-2025,1548.89
19-07-2025,1918.54
20-07-2025,1677.59
21-07-2025,1425.43
22-07-2025,1205.93
23-07-2025,1408.21
24-07-2025,1373.64
25-07-2025,1576.84
26-07-2025,1893.2
27-07-2025,1847.81
28-07-2025,1370.85
29-07-2025,1335.68
30-07-2025,1324.85
31-07-2025,1449.9
01-08-2025,1567.11
02-08-2025,1882.51
03-08-2025,1704.04
04-08-2025,1429.18
05-08-2025,1148.88
06-08-2025,1388.88
07-08-2025,1439.38
08-08-2025,1600.35
09-08-2025,1875.9
10-08-2025,1763.02
11-08-2025,1362.83
12-08-2025,1188.84
13-08-2025,1333.98
14-08-2025,1498.06
15-08-2025,1698.85
16-08-2025,1900.45
17-08-2025,1645.92
18-08-2025,1350.15
19-08-2025,1495.65
20-08-2025,1239.46
21-08-2025,1400.54
22-08-2025,1695.85
23-08-2025,1959.88
24-08-2025,2237.66
25-08-2025,1511.81
26-08-2025,1268.74
27-08-2025,1351.27
28-08-2025,1484.91
29-08-2025,1649
30-08-2025,1910.21
31-08-2025,1794.68
01-09-2025,1519.76
02-09-2025,2184.76
03-09-2025,2127.25
04-09-2025,1499.46
05-09-2025,1706.73
06-09-2025,2096.95
07-09-2025,1774.23
08-09-2025,1350.15
09-09-2025,1264.1
10-09-2025,1396.79
11-09-2025,1579.84
12-09-2025,1761.44
13-09-2025,2036.2
14-09-2025,1858.11
15-09-2025,1463.34
16-09-2025,1428.1
17-09-2025,1491.61
18-09-2025,1480.64
19-09-2025,1631.77
20-09-2025,2063.44
21-09-2025,1795.48
22-09-2025,1522.7
23-09-2025,1354.6
24-09-2025,1319.43
25-09-2025,1525.15
26-09-2025,1707.59
27-09-2025,2209.24
28-09-2025,1910.98
29-09-2025,1532.25
30-09-2025,1449.75
01-10-2025,1502.35
02-10-2025,1649.3
03-10-2025,1789.68
04-10-2025,2057.93
05-10-2025,2324.28
06-10-2025,1511.3
07-10-2025,1283.26
08-10-2025,1540.47
09-10-2025,1489.2
10-10-2025,1882.96
11-10-2025,2162.34
12-10-2025,1951.87
13-10-2025,1506.31
14-10-2025,1469.68
15-10-2025,1463.56
16-10-2025,1591.33
17-10-2025,1818.14
18-10-2025,2293.26
19-10-2025,1982.81
20-10-2025,1567.81
21-10-2025,1423.65
22-10-2025,1497.75
23-10-2025,1587.17
24-10-2025,1867.46
25-10-2025,2158.46
26-10-2025,2082.19
27-10-2025,1530.45
28-10-2025,1443.21
29-10-2025,1452.26
30-10-2025,1621.83
31-10-2025,1892.19
01-11-2025,3274.47
02-11-2025,2879.96
03-11-2025,2218.85
04-11-2025,2106.22
05-11-2025,2290.84
06-11-2025,2442.84
07-11-2025,2861.84
08-11-2025,3366.74
09-11-2025,2965.5
10-11-2025,2270.88
11-11-2025,2236.79
12-11-2025,2362.98
13-11-2025,2454.83
14-11-2025,2879.53
15-11-2025,3361.57
16-11-2025,3076.53
17-11-2025,2334.01
18-11-2025,2322.95
19-11-2025,2285.45
20-11-2025,2471.49
21-11-2025,2901.87
22-11-2025,3425.42
23-11-2025,3146.64
24-11-2025,2423.74
25-11-2025,2293.65
26-11-2025,2432.67
27-11-2025,2580.67
28-11-2025,2892.81
29-11-2025,3528.71
30-11-2025,3025.33
01-12-2025,2395.5
02-12-2025,2259.46
03-12-2025,2309.67
04-12-2025,2596.06
05-12-2025,2952.18
06-12-2025,3281.14
07-12-2025,3091.37
08-12-2025,2433.27
09-12-2025,2392.26
10-12-2025,2361
11-12-2025,2759.89
12-12-2025,3087.64
13-12-2025,3508.91
14-12-2025,3214.2
15-12-2025,2525.75
16-12-2025,2381.02
17-12-2025,2471.9
18-12-2025,2642.24
19-12-2025,3054.44
20-12-2025,3624.19
21-12-2025,3306.13
22-12-2025,2539.2
23-12-2025,2368.1
24-12-2025,2330.94
25-12-2025,2788.14
26-12-2025,3060.41
27-12-2025,4463.29
28-12-2025,3963.73
29-12-2025,2567.68
30-12-2025,2411.97
31-12-2025,2566.82
01-01-2026,1611.53
02-01-2026,1859.67
03-01-2026,2053.98
04-01-2026,1982.51
05-01-2026,1537.24
06-01-2026,1355.06
07-01-2026,1500.83
08-01-2026,1478.58
09-01-2026,1986.23
10-01-2026,2104.16
11-01-2026,2029
12-01-2026,1483.45
13-01-2026,1487.57
14-01-2026,1433.97
15-01-2026,1680.61
16-01-2026,1852.81
17-01-2026,2223.23
18-01-2026,1955.33
19-01-2026,1467.81
20-01-2026,1500.81
21-01-2026,1475.47
22-01-2026,1701.94
23-01-2026,1873.99
24-01-2026,2215.46
25-01-2026,2077.53
26-01-2026,1710.17
27-01-2026,1534.32
28-01-2026,1505.4
29-01-2026,1635.19
30-01-2026,1860.23
31-01-2026,2207.45
01-02-2026,1982.27
02-02-2026,1702.65
03-02-2026,1491.93
04-02-2026,1466.04
05-02-2026,1678.61
06-02-2026,1941.25
07-02-2026,2272.01
08-02-2026,2068.81
09-02-2026,1606.46
10-02-2026,1566.48
11-02-2026,1509.75
12-02-2026,1801.4
13-02-2026,1966.92
14-02-2026,2318.78
15-02-2026,1995.89
16-02-2026,1648.15
17-02-2026,1576.03
18-02-2026,1503.35
19-02-2026,1613.46
20-02-2026,1990.61
21-02-2026,2290.35
22-02-2026,2549.86
23-02-2026,1559.91
24-02-2026,1459.93
25-02-2026,1602.91
26-02-2026,1710.46
27-02-2026,1867.56
28-02-2026,2425.16
01-03-2026,2377.1
02-03-2026,2101.33
03-03-2026,1809.81
04-03-2026,1915.25
05-03-2026,2157.52
06-03-2026,2459.84
07-03-2026,2906.78
08-03-2026,2925.99
09-03-2026,1899.39
10-03-2026,1880.34
11-03-2026,1961.5
12-03-2026,2079.73
13-03-2026,2297.75
14-03-2026,2846.7
15-03-2026,2495.98
16-03-2026,1975.79
17-03-2026,1749.63
18-03-2026,1978.93
19-03-2026,2110.81
20-03-2026,2528.69
21-03-2026,2841.73
22-03-2026,2567.66
23-03-2026,2058.68
24-03-2026,1801.07
25-03-2026,2108.05
26-03-2026,2097.95
27-03-2026,2475.61
28-03-2026,2913.93
29-03-2026,2510.83
30-03-2026,2140.21
31-03-2026,1941.33
01-04-2026,1958.2
02-04-2026,2153.81
03-04-2026,2516.75
04-04-2026,2905.44
05-04-2026,2638.68
06-04-2026,1948.91
07-04-2026,1900.02
08-04-2026,1862.64
09-04-2026,2287.02
10-04-2026,2614.88
11-04-2026,2971.69
12-04-2026,2551.04
13-04-2026,2214.01
14-04-2026,1928.17
15-04-2026,1998.14
16-04-2026,2198.47
17-04-2026,2547.89
18-04-2026,3002.01
19-04-2026,2678.88
20-04-2026,2082.56
21-04-2026,2024.05
22-04-2026,2019.55
23-04-2026,2245.36
24-04-2026,2575.59
25-04-2026,3038.45
26-04-2026,3307.83
27-04-2026,2085.3
28-04-2026,2031.01
29-04-2026,2090.07
30-04-2026,2154.83
01-05-2026,2554.27
02-05-2026,3058.46
03-05-2026,2792.48
04-05-2026,2181.96
05-05-2026,2129.36
06-05-2026,2046.93
07-05-2026,2269.01
08-05-2026,2644.01
09-05-2026,2911.69
10-05-2026,2806.61
11-05-2026,2041.43
12-05-2026,2102.37
13-05-2026,2132
14-05-2026,2135.32
15-05-2026,2483.28
16-05-2026,3166.51
17-05-2026,2814.88
18-05-2026,2120.84
19-05-2026,2009.17
20-05-2026,2141.51
21-05-2026,2296.64
22-05-2026,2708.84
23-05-2026,3138.63
24-05-2026,2863.02
25-05-2026,2252.51
26-05-2026,2124.86
27-05-2026,2109.59
28-05-2026,3050.88
29-05-2026,2667.42
30-05-2026,3249.61
31-05-2026,2769.7
01-06-2026,2341.3
02-06-2026,2071.51
03-06-2026,2298.77
04-06-2026,2593.27
05-06-2026,2774.24
06-06-2026,3517.34
07-06-2026,2972.06
08-06-2026,2192.94
09-06-2026,2203.57
10-06-2026,2359.01
11-06-2026,2600.58
12-06-2026,2899.55
13-06-2026,3451.69
14-06-2026,2917.8
15-06-2026,2328.15
16-06-2026,2146.44
17-06-2026,2263.84
18-06-2026,2549.13
19-06-2026,2895.42
20-06-2026,3440.46
21-06-2026,2959.62
22-06-2026,2338.08
23-06-2026,2279.99
24-06-2026,2284.95
25-06-2026,2604.31
26-06-2026,2871.22
27-06-2026,3389.43
28-06-2026,3068.28
29-06-2026,2388.9
30-06-2026,2214.13
01-07-2026,2276.11
02-07-2026,2581.25
03-07-2026,2853.55
04-07-2026,3533.74
05-07-2026,3029.07
